Window,Path,Type,CommitDate
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\axis\DateTickTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\general\SeriesChangeListener.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\axis\AxisLocation.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\event\ChartChangeEvent.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\annotations\CategoryTextAnnotationTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYStepAreaRenderer.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\io\CSV.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\renderer\xy\DeviationStepRendererTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\gantt\TaskSeries.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\renderer\category\CategoryStepRenderer.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\internal\SerialUtilsTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\entity\XYAnnotationEntity.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\LegendItemTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\internal\ShapeUtilsTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\axis\SubCategoryAxisTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\legend\LegendItem.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\time\DynamicTimeSeriesCollection.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\xy\XYZDataset.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\renderer\xy\VectorRendererTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialCapTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\renderer\xy\CandlestickRendererTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\plot\PlotTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\text\format\HMSNumberFormat.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\labels\StandardXYToolTipGenerator.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\block\CenterArrangement.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\plot\dial\DialPlot.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\general\KeyedValueDataset.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources_ru.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\renderer\category\StatisticalLineAndShapeRendererTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\xy\NormalizedMatrixSeries.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\time\FixedMillisecond.java,Production,2025-05-20 18:02:33 +0200
